Shipping_Id,SKU,SupID,shipping_lt,shipping_carr,shipping_cost,trans_modes,Route,other_cost
52,SKU52,52,1,Carrier B,8.63105218,Air,Route C,602.8984988
53,SKU53,53,3,Carrier B,1.013486566,Air,Route B,750.7378407
54,SKU54,54,3,Carrier B,4.305103471,Road,Route B,814.0699966
55,SKU55,55,5,Carrier A,5.014364955,Sea,Route B,323.012928
56,SKU56,56,5,Carrier C,1.774429714,Air,Route B,832.2108087
57,SKU57,57,1,Carrier B,9.160558535,Rail,Route A,482.1912386
58,SKU58,58,7,Carrier A,4.938438565,Road,Route B,110.3643352
59,SKU59,59,7,Carrier B,7.293722597,Air,Route A,312.5742736
60,SKU60,60,8,Carrier C,4.381368158,Rail,Route A,430.169097
61,SKU61,61,7,Carrier C,9.030340423,Air,Route A,164.3665282
62,SKU62,62,7,Carrier C,7.291701389,Sea,Route C,320.8465158
63,SKU63,63,4,Carrier A,2.457933528,Sea,Route A,687.2861779
64,SKU64,64,6,Carrier C,4.585353468,Air,Route C,771.2250847
65,SKU65,65,8,Carrier C,6.580541348,Rail,Route C,555.8591037
66,SKU66,3,8,Carrier A,2.216142729,Road,Route A,393.8433486
67,SKU67,52,9,Carrier C,9.147811545,Sea,Route C,169.2718014
68,SKU68,66,8,Carrier B,1.194251865,Rail,Route A,299.7063031
69,SKU69,67,3,Carrier B,9.70528679,Air,Route A,207.6632062
70,SKU70,68,4,Carrier B,6.315717755,Road,Route C,183.2728987
71,SKU71,68,6,Carrier A,9.228190317,Road,Route A,405.1670679
72,SKU72,69,9,Carrier A,6.59961416,Rail,Route B,677.9445698
73,SKU73,70,5,Carrier B,1.512936837,Road,Route A,866.4728001
74,SKU74,71,5,Carrier A,5.23765465,Rail,Route A,341.5526568
75,SKU75,72,10,Carrier C,2.473897761,Air,Route C,873.129648
76,SKU76,73,10,Carrier A,7.054538337,Rail,Route A,997.4134501
77,SKU77,54,4,Carrier B,6.780946626,Road,Route B,852.5680989
78,SKU78,27,5,Carrier B,8.467049771,Sea,Route C,323.5922034
79,SKU79,74,1,Carrier B,6.496325364,Air,Route C,351.5042193
80,SKU80,75,2,Carrier C,2.833184679,Sea,Route B,787.7798505
81,SKU81,76,5,Carrier B,4.066277502,Rail,Route B,276.7783359
82,SKU82,77,1,Carrier A,4.708181874,Road,Route C,589.9785556
83,SKU83,78,8,Carrier B,4.949839578,Road,Route A,682.9710182
84,SKU84,79,10,Carrier A,8.381615625,Air,Route B,465.457006
85,SKU85,80,2,Carrier C,8.249168705,Road,Route B,842.68683
86,SKU86,81,6,Carrier B,1.45430531,Rail,Route A,264.2548898
87,SKU87,82,10,Carrier A,6.575803798,Sea,Route B,879.3592177
88,SKU88,83,7,Carrier A,3.801253133,Sea,Route A,103.916248
89,SKU89,84,8,Carrier B,9.929816245,Rail,Route B,517.4999739
90,SKU90,85,7,Carrier B,7.674430708,Rail,Route B,990.0784725
91,SKU91,86,7,Carrier B,7.471514084,Rail,Route B,996.778315
92,SKU92,87,8,Carrier B,4.469500026,Rail,Route B,230.0927825
93,SKU93,88,1,Carrier C,7.006432059,Air,Route A,823.5238459
94,SKU94,89,9,Carrier B,6.942945942,Rail,Route B,846.665257
95,SKU95,90,9,Carrier B,8.63033887,Air,Route A,778.8642414
96,SKU96,91,3,Carrier C,5.352878044,Road,Route A,188.7421411
97,SKU97,92,9,Carrier A,7.904845611,Road,Route A,540.1324229
98,SKU98,93,7,Carrier B,1.409801095,Rail,Route A,882.1988635
99,SKU99,9,6,Carrier B,1.311023756,Rail,Route B,210.743009
