manufuct_Id,SKU,SupID,prod_volum,manfuct_lt,manfuct_cost,inspect_resl,def_rate
88,SKU88,83,953,11,68.18491906,Pending,0.722204402
89,SKU89,84,370,11,46.60387338,Pending,1.907665734
90,SKU90,85,585,8,85.67596334,Pass,1.219382224
91,SKU91,86,207,28,39.7728825,Pending,0.626001858
92,SKU92,87,671,29,62.6126904,Pass,0.333431825
93,SKU93,88,824,20,35.63365234,Fail,4.165781795
94,SKU94,89,908,14,60.38737861,Pass,1.463607498
95,SKU95,90,450,26,58.89068577,Pending,1.21088213
96,SKU96,91,648,28,17.80375633,Pending,3.872047681
97,SKU97,92,535,13,65.76515593,Fail,3.376237835
98,SKU98,93,581,9,5.604690864,Pending,2.908122169
99,SKU99,9,921,2,38.07289852,Fail,0.346027291
